0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s] (normalized)
874,97.4,0.0010268454767621853
875,97.5,0.0010047450166099268
876,97.6,0.0009827267784903045
877,97.7,0.0009607915846236446
878,97.8,0.0009389377905692946
879,97.9,0.0009171662185475806
880,98.0,0.0008994745037852702
881,98.1,0.0008528381668740719
882,98.2,0.0008063814851041837
883,98.3,0.000760103636255279
884,98.4,0.0007140037981070314
885,98.5,0.0006680815595492778
886,98.6,0.0006223356872515285
887,98.7,0.0005767657701036208
888,98.8,0.0005313709858852277
889,98.9,0.0004861501012658601
890,99.0,0.0004411031162455178
891,99.1,0.000396253957435698
892,99.2,0.0003515710926868847
893,99.3,0.0003070535764457026
894,99.4,0.000262700668713858
895,99.5,0.00021851167060407347
896,99.6,0.0001744858421180553
897,99.7,0.00013062248436852605
898,99.8,8.692085735719202e-05
899,99.9,4.3380262196775814e-05
900,100.0,0.0
